_ID, TimeSt,Country,Province,City,Latitude,Longitude,Associated POI,Distance POI
4516516,00:00.1,CA,ON,Waterloo,43.49347,-80.49123,POI3,7.216086686821121
4516547,00:00.2,CA,ON,London,42.9399,-81.2709,POI3,8.125911567622241
4516550,00:00.3,CA,ON,Guelph,43.5776,-80.2201,POI3,6.932241785066144
4516600,00:00.3,CA,ON,Stratford,43.3716,-80.9773,POI3,7.716841105596059
4516613,00:00.5,CA,ON,Stratford,43.3716,-80.9773,POI3,7.716841105596059
4516771,00:00.9,CA,ON,Sarnia,42.961,-82.373,POI3,9.171676353874307
4516953,00:01.7,CA,ON,Kitchener,43.4278,-80.5135,POI3,7.256138274028198
4517175,00:01.1,CA,ON,Saint Thomas,42.7792,-81.1927,POI3,8.104758085780045
4517250,00:01.4,CA,ON,Chatham,42.4247,-82.1755,POI3,9.149538033453764
4517349,00:00.4,CA,ON,Chatham,42.4247,-82.1755,POI3,9.149538033453764
4517518,00:01.3,CA,ON,Waterloo,43.4634,-80.5201,POI3,7.25227410059886
4517607,00:01.6,CA,ON,Chatham,42.4247,-82.1755,POI3,9.149538033453764
4517697,00:01.8,CA,ON,Windsor,42.3262,-82.9084,POI3,9.873740720690261
4517809,00:00.0,CA,ON,London,43.0346,-81.2554,POI3,8.081572651174827
4517811,00:00.1,CA,ON,Cambridge,43.4194,-80.3255,POI3,7.078833418227686
4517905,00:00.2,CA,ON,Windsor,42.2957,-82.9599,POI3,9.93234736688247
4518002,00:00.9,CA,ON,Kitchener,43.4397,-80.434,POI3,7.17659548097961
4518061,00:01.1,CA,ON,Waterloo,43.4678,-80.584,POI3,7.312332097068421
4518153,00:01.4,CA,ON,Guelph,43.5425,-80.2676,POI3,6.987708671833496
4518264,00:01.5,CA,ON,Cambridge,43.3842,-80.2968,POI3,7.062007384038695
4518329,00:01.8,CA,ON,London,42.9399,-81.2709,POI3,8.125911567622241
4518430,00:02.5,CA,ON,Brantford,43.1772,-80.248,POI3,7.081324071147788
4518434,00:02.6,CA,ON,Guelph,43.5776,-80.2201,POI3,6.932241785066144
4518585,00:02.8,CA,ON,Guelph,43.5776,-80.2201,POI3,6.932241785066144
4518814,00:03.8,CA,ON,Cambridge,43.3842,-80.2968,POI3,7.062007384038695
4518887,00:04.0,CA,ON,Waterloo,43.4634,-80.5201,POI3,7.25227410059886
4518918,00:04.2,CA,ON,London,42.9399,-81.2709,POI3,8.125911567622241
4518952,00:00.2,CA,ON,Kitchener,43.4193,-80.3826,POI3,7.133407011240629
4518992,00:00.4,CA,ON,Waterloo,43.4678,-80.584,POI3,7.312332097068421
4519097,00:00.8,CA,ON,London,42.9399,-81.2709,POI3,8.125911567622241
4519118,00:00.9,CA,ON,Windsor,42.2287,-83.0182,POI3,10.00934625907291
4519156,00:01.0,CA,ON,Windsor,42.2287,-83.0182,POI3,10.00934625907291
4519209,00:01.3,CA,ON,Hanover,44.1517,-81.0266,POI3,7.585308149100935
4519477,00:02.7,CA,ON,Windsor,42.2957,-82.9599,POI3,9.93234736688247
4519555,00:03.9,CA,ON,Waterloo,43.4663,-80.5402,POI3,7.270729549172971
4519604,00:04.2,CA,ON,Kitchener,43.4193,-80.3826,POI3,7.133407011240629
4519633,00:04.3,CA,ON,London,42.9699,-81.2081,POI3,8.056838491568328
